Эпоха/стиль;Номер;Название;Дата создания;Местонахождение;Создатель
Первобытная эпоха;;;;;
;574;Стоунхендж;3020-2100 годы до н.э.;Эймсбери, Великобритания;не известен
;575;Гёбекли-Тепе;10000-9000 годы до н.э.;Шарлыурфа, Турция;не известен
;576;Карнакские камни;4500-3300 годы до н.э.;Карнак, Франция;не известен
;577;Набта-Плая;7300-4000 годы до н.э.;Нубийская пустыня, Египет;не известен
;578;Гробница Са-Эна-э-Томес;1500-500 годы до н.э;Доргали, Италия;не известен
Античность;;;;;
;1;Храм Ники Аптерос;V век до н.э.;Афины;Калликрат
;2;Храм Зевса;457 год до н.э.;Олимпия;Либон
;3;Храм Гефеста;415 год до н.э.;Афины;Иктин(возможно)
;4;Парфенон;447 год до н.э.;Афины; Калликрат по проекту Иктина
;5;Арка Адриана;131 год н.э.;Афины;не известен
;6;Триумфальная арка Константина;315 год н.э.;Рим;не известен
;7;Римский Пантеон;126 год до н.э.;Рим;Аполлодор из Дамаска
;8;Римский акведук;I век н.э.;Сеговия;не известен
;9;Колизей ;72 год н.э.;Рим;Рабирий
;88;Акведук Пон-дю-Гар;60 год н.э.;Вер-Пон-дю-Гар, Франция;не известен
;89;Триумфальная арка Септимия Севера;203 год н.э.;Рим;не известен
;90;Форум Траяна ;112 год н.э.;Рим;Аполлодор из Дамаска
;91;Храм Весты;VII век до н.э.;Рим;не известен
;92;Храм Портуна ;около 100 года до н.э.;Рим;не известен
;93;Одеон Герода Аттика;161 год н.э.;Афины;Герод Аттик
;94;Храм Эрехтейон;421 год до н.э.;Афины;Мнесикл 
;95;Храм Аполлона в Дельфах;VII век до н.э.;Дельфы, Греция;Трофоний и Агамед
;96;Кносский дворец;примерно 1700-1450 годы до н.э.;остров Крит, Греция;не известен
;97;Храм Артемиды Эфесской ;323 год до н.э.;Сельчук (в провинции Измир), Турция;Херсифрон и Метаген
;98;Храм Цереры;2 пол. VI века до н.э. ;Капаччо-Пестум, Италия;не известен
;148;Сокровищница афинян;495-490 год до н.э.;Дельфы, Греция;не известен
;149;Храм Геры;середина VI века до н.э.;Капаччо-Пестум, Италия;не известен
;150;Храм Посейдона;середина V века до н.э.;Капаччо-Пестум, Италия;не известен
;151;Термы Каракаллы;212 год н.э.;Рим;не известен
;267;Герейон II на острове Самос;примерно 570 год до н.э.;остров Самос, Греция;Ройко и Феодор
;268;Храм Геры (Юноны Лацинии);450 год до н.э.;Древний город Кротон, сейчас Италия ;не известен
;269;Филиппейон;IV век до н.э., после 338 года до н.э.;Олимпия;не известен
;270;Храм Конкордии;440-430 годы до н.э.;Долина храмов, Агридженто, Сицилия, Италия;не известен
;271;Храм Зевса Олимпийского;515 год до н.э.;Афины, Греция;Decimus Cossutius и др.
;272;Памятник Лисикрата;334 год до н.э.;Афины, Греция;не известен
;273;Башня ветров;примерно 100-50 годы до н.э.;Афины, Греция;Андроник
;274;Большой Цирк;VI век до н.э.;Рим, Италия;не известен
;275;Арена ди Верона;30 год н.э.;Верона, Италия;не известен
;276;Вилла Адриана;118 год н.э.;Тиволи, Италия;Адриан
;277;Мавзолей Адриана;135 год н.э.;Рим, Италия;Декриан
;338;Колонна Траяна;113 год н.э.;Рим, Италия;Аполлодор из Дамаска
;339;Траянов мост;103 год н.э.;Дробена-Турну-Северин, Румыния;Аполлодор из Дамаска
;340;Арка Траяна;114 год н.э.;Беневенто, Италия;Аполлодор из Дамаска
;345;Вавилонская крепость (Вавилон Египетский);около 30 года до н.э.;Каир, Египет;не известен
;346;Мавзолей Августа;28 год до н.э.;Рим, Италия;не известен
;347;Театр Марцелла;13 год до н.э.;Рим, Италия;Гай Юлий Цезарь и Октавиан Август
;348;Храм Антонина и Фаустины;141 год н.э.;Рим, Италия;не известен
;349;Базилика Максенция-Константина;308 год н.э.;Рим, Италия;Максенций и Константин Великий
;571;Мавзолей в Галикарнасе;359 год до н.э.;Бодрум, Турция;Сатирос и Пифей Приенский
;572;Театр в Дельфах;160 год до н.э.;Дельфы, Греция;не известен
Древний Египет;;;;;
;10;Храм Хатшепсут;начало XV века до н.э.;Дейр-эль-Бахри;Сенмут
;11;Рамессеум ;XIII век до н.э.;Луксор;Пенр и Аменемоне
;12;Пирамида Хеопса ;2560 год до н.э.;Эль-Гиза;Хемиун(Хемиуну)
;13;Луксорский храм ;1400 год до н.э.;Луксор;Аменхотеп III
;14;Карнакский храм ;примерно XX век до н.э.;Карнак ;Сенусерт I
;99;Абу-Симбел;около 1244 года до н.э.;Нубия;не известен
;100;Пирамида Джосера;около 2650 года до н.э.;Саккара;Имхотеп
;101;Храм Го́ра;237 год до н.э.;Эдфу;Птолемей III Эвергет
;146;Чёрная пирамида;1860 год до н.э.;Дахшур;Аменемхет III
;147;Усыпальница Ментухотепа II;XXI век до н.э.;Дейр-эль-Бахри;Сенмут
;262;Мастаба фараона Шепсескафа;2486-2479 годы до н.э.;Южная Саккара;не известен
;263;Пирамида в Медуме;примерно 2680 год до н.э.;Медум;Хуни и Снофру
;264;Пирамида Хефрена ;примерно 2547-2521 годы до н.э.;Эль-Гиза;не известен
;265;Храм богини Исиды;примерно 350 год до н.э.;остров Филы;не известен
;266;Храм в Ком-Омбо;180-47 годы до н.э.;Ком-Омбо;Птолемей VI Филометор и Птолемей XII Неос Дионис
;341;Большой Сфинкс;2559 год до н.э.;Эль-Гиза;не известен
;342;Солнечный храм Ниусерра;2400-2379 годы до н.э.;Археологическая зона Абу-Гораб;не известен
;343;Дворец Малката;XIV век до н.э.;Луксор;не известен
;344;Поминальный храм Сети I;1290-1279 годы до н.э.;Курна;Сети I
;573;Гробница Тутанхамона;около 1327 года до н.э.;Луксор;не известен
Стили раннего Средневековья: дороманский, романский, византийский и другие;;;;;
;15;Эссенский собор;845 год;Эссен, Германия;Альтфрид
;16;Церковь святого Михаила;993 год;Хильдесхайм, Германия;Бернвард
;17;Церковь святого Кириака;959 год;Гернроде, Германия;Геро I
;18;Собор Сен-Леонс;V век;Фрежюс, Франция;Леонтий Фрежюсский
;19;Меровингская крипта;600-617 годы;Жуар, Франция;Святой Адон
;20;Баптистерий Иоанна Крестителя;360 год;Пуатье, Франция;Святой Иларий
;21;Базилика Сен-Дени;450-475 годы;Сен-Дени, Франция;Святая Женевьева
;22;Палатинская капелла;около 796 года;Ахен, Германия;Одо из Меца
;23;Капелла Каролингов ;803 год;Жерминьи-де-Пре, Франция;Одо из Меца
;24;Замок Бройх ;884 год;Мюльхайм-на-Руре, Германия;Генрих Франконский
;25;Бенедиктинский монастырь святого Иоанна;VIII век ;Мюстаир, Швейцария;Карл I Великий
;26;Клонфертский собор;1180 год;Клонферт, Ирландия;не известен
;27;Пизанский собор;1063 год;Пиза, Италия;Бускето ди Джованни Джудиче
;28;Бамбергский кафедральный собор;1004 год;Бамберг, Германия;Генрих  II Святой
;29;Церковь святого Лазаря ;898 год;Ларнака, Кипр;Лев VI Мудрый
;30;Монастырь Студеница ;1190 год;Сербия ;Стефан Неманя
;31;Собор Сан-Витале ;527-548 годы;Равенна, Италия;Екклезий
;32;Храм Святой Софии;532 год;Стамбул, Турция;Анфимий Тралльский и Исидор Милетский
;132;Ротонда святого Лонгина;начало XII века;Прага, Чехия;не известен
;133;Замок Сюлли-сюр-Луар;1102 год;Сюлли-сюр-Луар, Франция;Раймон дю Тампль
;134;Капелла кающихся грешников;XI-XII век;Больё-сюр-Дордонь, Франция;не известен
;135;Лаахское аббатство святой Марии;1093 год;Глес, Германия;Генрих Лаахский
;136;Приорат Серрабоны;X-XI век;Буль-д'Амон, Франция;не известен
;137;Церковь Богородицы;1170 год;Калуннборг, Дания;Ингеборга Странгессен
;152;Вормсский собор святого Петра;1130 год;Вормс, Германия;Бурхард II, Конрад I, Конрад II
;153;Мавзолей Теодориха;520 год;Равенна, Италия;Теодорих Великий
;154;Пизанская башня;1173 год;Пиза, Италия;Бонанно Пизано
;389;Базилика Святого Димитрия;VII век;Салоники, Греция;не известен
;390;Церковь Всех святых в Бриксуорте;между 670 и 675 годами;графство Нортгемтоншир, Великобритания;не известен
;391;Ахенский собор;около 800 года;Ахен, Германия;Одо из Меца
;392;Церковь Святой Марии Мелькийской;между 668 и 729 годами;близ Толедо, Испания;не известен
;393;Золотые ворота;1158 год;Владимир, Россия;князь Андрей Боголюбский
;394;Высокий собор святых Марии, Либориуса и Килиана;XIII век;Падерборн, Германия;не известен
;395;Ангулемский собор;около 1110 года;Ангулем, Франция;Жирар II, епископ Ангулемский
;396;Старый собор;первая треть XII века;Саламанка, Испания;епископ Жером Перигорский
;397;Саморский собор;1139 год;Самора, Испания;не известен
;398;Кентерберийский собор;1070 год;Кентербери, Великобритания;епископ Ланфранк
;516;Лоршский монастырь;764 год;Лорш, Германия;не известен
;517;Собор святого Мартина Турского и святого Стефана;975 год;Майнц, Германия;архиепископ Виллигиз
;518;Шпайерский собор;1030 год;Шпайер, Германия;Отто Бамбергский
;519;Нотр-Дам-ля-Гранд;вт. пол. XI века;Пуатье, Франция;не известен
;520;Кафедральный собор Сен-Фрон ;1120 год;Перигё, Франция;не известен
;521;Сент-Олбанский собор;1077 год;Сент-Олбанс, Великобритания;Поль Канский под руководством Роберта Каменщика
;522;Собор Или;1083 год;Или, Великобритания;аббат Симеон
;523;Даремский собор;1093 год;Дарем, Великобритания;не известен
;524;Винчестерский собор;1079 год;Винчестер, Великобритания;епископ Винчестерский Уоклин
;525;Лиссабонский собор;1147 год;Лиссабон, Португалия;не известен
;526;Собор в Питерборо;1118 год;Питерборо, Великобритания;аббат Джон из Сеса
;527;Линкольнский собор;1072 год;Линкольн, Великобритания;епископ Ремигий де Фекамп
;610;Церковь Святого Мартина Турского;1066 год;Фромиста, Испания;не известен
;611;Собор Хаки;1077 год;Хака, Испания;не известен
Готика ;;;;;
;33;Кёльнский собор;1248 год;Кёльн, Германия;Герхард фон Риле
;34;Мирский замок ;1520 год;Беларусь;Юрий Ильинич
;35;Собор Антверпенской Богоматери;1352 год;Антверпен, Бельгия;Питер и Жан Аппельмансы
;36;Собор Святого Стефана;1137 год;Вена, Австрия;Антон Пильграм
;128;Бургосский собор;1221 год;Бургос, Испания;Иоганн Кёльнский
;129;Вестминстерское аббатство;1245 год;Лондон, Великобритания;Генри Рейнский
;130;Ратуша Ауденарде;1526 год ;Ауденарде, Бельгия;Ян ван Рёйсбрук
;131;Шартрский собор;1194 год;Шартр, Франция;не известен
;155;Миланский собор;1386 год;Милан, Италия;Симоне да Орсениго
;156;Реймсский собор;1208 год;Реймс, Франция;Жан д' Орбе
;157;Ульмский собор;1377 год;Ульм, Германия;Ульрих фон Энсинген
;278;Страсбургский собор;1277 год;Страсбург, Франция;Эрвин фон Штейнбах
;279;Фрайбургский собор;1230 год;Фрайбург-им-Брайсгау, Германия;Эрвин фон Штейнбах
;280;Соборная базилика Вознесения Девы Марии;1290 год;Орвието, Италия;Арнольфо ди Камбио
;281;Колокольня Джотто;1334 год;Флоренция, Италия;Джотто ди Бондоне, Андреа Пизано, Франческо Таленти
;282;Церковь Святого Креста;1325 год;Швебиш-Гмюнд, Германия;Генрих I Парлер
;283;Замок Карлштейн;1348 год;Карлштейн, Чехия;Матьё Арасский
;284;Собор святого Вита;1344 год;Прага, Чехия;Матьё Арасский и Петр Парлерж
;285;Церковь Пресвятой Девы Марии;1352 год;Нюрнберг, Германия;Петр Парлерж
;286;Церковь всех Святых;1356 год;Прага, Чехия;Петр Парлерж
;287;Карлов мост;1357 год;Прага, Чехия;Петр Парлерж
;399;Тульский собор;1221 год;Туль, Франция;не известен
;400;Фонтан Маджоре;1275 год;Перуджа, Италия;Никколо Пизано, Джованни Пизано, Арнольфо ди Камбио
;401;Баптистерий Святого Иоанна;1152 год;Пиза, Италия;Диотисальви, Никколо Пизано, Джованни Пизано, Челлино ди Незе
;402;Санта-Тринита;1250 год;Флоренция, Италия;Никколо Пизано, Альфонсо Париджи Старший, Бернардо Буонталенти
;403;Собор Санта-Мария-Ассунта;1196 год;Сиена, Италия;Никколо Пизано, Джованни Пизано 
;404;Базилика святого Доминика;1228 год;Болонья, Италия;не известен
;528;Солсберийский собор;1220 год;Солсбери, Великобритания;Ричард Пур и Илия из Дерехама
;529;Амьенский собор;1220 год;Амьен, Франция;Робер де Люзарш
;530;Санта-Мария-дель-Мар;1329 год;Барселона, Испания;Беренгер де Монтагут
;612;Собор Парижской Богоматери;1163 год;Париж, Франция ;Жан де Шелль, Пьер де Монтрёй, Пьер де Шель, Жан Рави и Раймон дю Тампль
Эпоха Возрождения (Ренессанс);;;;;
